review,85 Percentile Top Topics,90 Percentile Top topics,sentiment_label,sentiment_class_probs,lime_word_attributions_sentiment,emotion,emotion_class_probabilities,lime_word_attributions_first_class_emotion,lime_word_attributions_second_class_emotion,lime_word_attributions_third_class_emotion
 The location and underground car parking make this a best choice for travellers by car wishing to stay in central London ,,"{0: 0.1789759908904629, 5: 0.14402822668851814}",Positive,"{'positive': 0.9309498, 'negative': 0.06905022}","[('location', 0.4233608630390651), ('best', 0.1902317654808999), ('car', -0.08305104551110212), ('The', 0.0678476817199862), ('parking', -0.06279876610695166), ('a', 0.03958019638370075), ('and', 0.03810079557067274), ('wishing', -0.03734518923133196), ('to', 0.028730332415023062), ('underground', -0.026437663272551384), ('London', 0.024134489127753896), ('for', -0.020944168769791754), ('stay', 0.019124238187079496), ('travellers', -0.014870322521800932), ('this', -0.013237504103249847), ('make', 0.009396572367081604), ('by', 0.00871648769183292), ('choice', 0.006853182255670665), ('central', -0.006710150866656951), ('in', -0.005386519931135192)]",anticipation,"{'anticipation': 0.6500486731529236, 'optimism': 0.6042969226837158, 'joy': 0.3451513946056366, 'trust': 0.1283421367406845, 'fear': 0.10938841104507446, 'surprise': 0.07147946953773499, 'pessimism': 0.04250730574131012, 'disgust': 0.022073227912187576, 'sadness': 0.021920377388596535, 'love': 0.016870804131031036, 'anger': 0.013317144475877285}","[('location', 0.15139065931671647), ('choice', 0.1395096099592882), ('best', 0.08027076812454931), ('wishing', -0.05294370824327123), ('central', 0.036519929317740424), ('parking', -0.03455428923725397), ('in', 0.03001000562110455), ('London', 0.02793451824004263), ('underground', 0.017148622584980306), ('stay', 0.01689091419224919), ('make', 0.01630210150515893), ('The', -0.014718797140209489), ('this', 0.011568289919989767), ('by', 0.011020842406190712), ('travellers', 0.010124186841583454), ('car', -0.008606520807083238), ('to', -0.008193553696736735), ('for', -0.008099009082246589), ('a', -0.006348400379967749), ('and', 0.00016959617474185366)]","[('best', 0.4777543402516913), ('this', 0.12539060944409527), ('The', -0.07593055720363076), ('a', 0.06743241470955898), ('and', 0.06348259639347348), ('underground', -0.06149469375925656), ('choice', -0.05254498295725543), ('to', -0.04352985166104639), ('location', -0.03818105024013478), ('London', -0.03402186455334747), ('wishing', -0.029130801839359847), ('central', 0.027234976080298613), ('travellers', 0.024220120787378556), ('by', 0.021743359409500184), ('stay', -0.017007641068402458), ('in', -0.015934304566410835), ('car', -0.012962243027967528), ('for', 0.012874653234212325), ('make', 0.008982065061515932), ('parking', -0.0025860828450160675)]","[('best', 0.3658510491281746), ('this', 0.14055563332184884), ('location', -0.10545897818932257), ('car', 0.09024227169769865), ('to', -0.07894770118241586), ('choice', -0.07813298814586138), ('underground', -0.0699764224573045), ('wishing', -0.06147595064765446), ('stay', -0.053589460762331884), ('a', 0.049700870303129335), ('travellers', -0.04065556024843267), ('for', -0.03639602985507672), ('in', -0.031247078684052722), ('and', 0.027977798666343787), ('central', -0.020104450349304578), ('London', 0.011657034416438885), ('parking', -0.006364881879117374), ('The', -0.003296404474463593), ('make', 0.0014942632494332811), ('by', 0.0011171942808096268)]"
 The location of the hotel was good as it was in the city center ,,"{0: 0.4493866679057899, 2: 0.0603928740775705}",Positive,"{'positive': 0.94891834, 'negative': 0.051081628}","[('location', 0.23812806200210543), ('good', 0.12940382267707423), ('hotel', 0.05652331801519067), ('as', -0.018129729095510836), ('the', 0.01555208440212832), ('it', 0.015130852606445176), ('The', 0.010658817409200372), ('was', 0.008254954808507475), ('in', -0.007670888568407289), ('of', 0.006582449489053466), ('city', -0.0036348568345824146), ('center', -0.002799760893523267)]",anticipation,"{'anticipation': 0.7445889115333557, 'optimism': 0.46962636709213257, 'joy': 0.19755104184150696, 'trust': 0.09768803417682648, 'fear': 0.08287777006626129, 'surprise': 0.06308740377426147, 'pessimism': 0.05717238038778305, 'sadness': 0.04473727196455002, 'disgust': 0.023208580911159515, 'anger': 0.016108006238937378, 'love': 0.011289510875940323}","[('location', 0.22970551736965114), ('was', 0.13286702993603955), ('hotel', 0.07847787386276366), ('of', 0.04858570724346108), ('center', 0.04269615420382906), ('in', 0.032212909510250055), ('good', 0.029417808456281093), ('as', 0.025426216207455863), ('city', 0.018820386189539694), ('it', 0.01535301678404222), ('The', 0.005230352088004119), ('the', -0.0028067911074806523)]","[('good', 0.46188428992096686), ('in', -0.07161781875654764), ('the', 0.0675140002386635), ('as', -0.049412574246007104), ('it', -0.03563249385902615), ('hotel', -0.030429672744751286), ('location', 0.014992878489685892), ('The', -0.013628415870941322), ('was', 0.008117970572711998), ('city', 0.006997033169317951), ('center', -0.0069290388741440785), ('of', 0.00677159102194551)]","[('good', 0.32220245043757545), ('of', -0.15578614299694507), ('as', -0.11493757790493181), ('location', -0.09285443721124635), ('city', 0.06672544625537356), ('hotel', 0.05919627155970536), ('was', -0.04862078742563625), ('center', -0.029931734443101637), ('The', -0.02414937722006085), ('the', -0.015718130297049448), ('it', 0.014325666741290984), ('in', 0.011520554881370975)]"
 Location for gig in Wembley Reception staff Bathrooms,,"{0: 0.5594497733631916, 2: 0.06581788267606746}",Positive,"{'positive': 0.98738146, 'negative': 0.012618622}","[('Location', 0.15299046214668335), ('Wembley', 0.07944096815538033), ('gig', 0.05729576893790891), ('Bathrooms', -0.037634530859572794), ('staff', 0.032478558317238046), ('in', 0.026390574884332278), ('for', 0.01411164542860866), ('Reception', -0.0038527151339200847)]",anticipation,"{'anticipation': 0.282431036233902, 'joy': 0.09931489825248718, 'disgust': 0.09359221160411835, 'fear': 0.07954011857509613, 'sadness': 0.07909401506185532, 'surprise': 0.046149905771017075, 'anger': 0.0360528826713562, 'optimism': 0.03057233989238739, 'pessimism': 0.02270461805164814, 'trust': 0.008507114835083485, 'love': 0.004410203546285629}","[('Bathrooms', -0.17318495697712116), ('gig', 0.14039290137483051), ('Location', 0.13081063064362344), ('staff', -0.10012524721645762), ('in', 0.07468224369071726), ('for', 0.06726630230603968), ('Wembley', 0.02937014527948844), ('Reception', 0.02393356625826271)]","[('staff', -0.12855298146193783), ('Bathrooms', -0.11847681859989032), ('gig', 0.10575986628681051), ('Reception', 0.077250747733754), ('Location', -0.061891383569976234), ('Wembley', 0.03834951734952732), ('for', 0.028987514868444853), ('in', -0.00418332320049404)]","[('Bathrooms', 0.09989225437307823), ('gig', -0.08220127539416797), ('Reception', -0.0606601256733304), ('staff', 0.05005744605169425), ('for', -0.046831091689183854), ('Location', -0.046029312261215816), ('in', -0.026056419897659024), ('Wembley', -0.01791581231983446)]"
 One of the nearest hotels from Milan central station Check out time until noon ,,"{0: 0.5679741416023724, 2: 0.124614678393076}",Positive,"{'negative': 0.7366869, 'positive': 0.26331306}","[('nearest', -0.10735253551970868), ('central', 0.08569214416225661), ('One', -0.08188047715945755), ('from', 0.07505690185454059), ('Milan', 0.06770099753673134), ('of', 0.06366718368752768), ('time', -0.058970298835414915), ('until', -0.023765586372333062), ('hotels', 0.02365619732296341), ('out', -0.021607152306701575), ('noon', -0.02059635027911169), ('the', -0.016000374542223764), ('station', -0.007878558675751999), ('Check', 0.0005507811920751131)]",anticipation,"{'anticipation': 0.8140031099319458, 'joy': 0.1732311099767685, 'optimism': 0.15954063832759857, 'fear': 0.13434824347496033, 'surprise': 0.0898444652557373, 'disgust': 0.05771108344197273, 'anger': 0.05712608993053436, 'pessimism': 0.04146004095673561, 'trust': 0.04081130400300026, 'sadness': 0.03563357889652252, 'love': 0.004681368824094534}","[('hotels', 0.15988530146618965), ('until', 0.12189619776197282), ('out', 0.12159453139460023), ('Check', 0.10578916085195555), ('nearest', 0.10295180386533709), ('One', 0.09386640684036561), ('central', -0.02854478836466506), ('Milan', 0.02802969799873534), ('of', -0.027850256890557694), ('noon', 0.024004625794851523), ('time', 0.018177850982099283), ('from', 0.014524647094389057), ('the', 0.009489973541389862), ('station', -0.0040269615619650525)]","[('hotels', 0.06139693728173337), ('until', -0.054933954531226334), ('Milan', 0.049227991333560706), ('One', 0.04465161311739943), ('from', 0.03316536222453936), ('time', -0.021389305227495565), ('central', -0.021251055550966534), ('out', 0.014759627467547382), ('station', 0.01314003590120448), ('nearest', 0.010538225995543925), ('of', 0.008287448393496065), ('Check', -0.004462175050897645), ('noon', 0.0031185035231405954), ('the', -0.0012515487696857126)]","[('until', 0.041524270897343986), ('noon', -0.038526780332467064), ('out', 0.035854513513145156), ('Check', 0.033313475574514105), ('nearest', 0.029415533193650097), ('hotels', 0.022640737630605957), ('time', -0.021855356850924174), ('Milan', 0.020409108896244713), ('from', 0.01599172857591111), ('central', -0.015002983232421744), ('of', -0.014459975100638693), ('the', -0.00965449827563348), ('station', 0.009064971227287647), ('One', 0.008908730112526783)]"
 Everything you would expect from a premium hotel top service facilities and location,,"{0: 0.2613933549098866, 2: 0.051762169642526605}",Positive,"{'positive': 0.9904136, 'negative': 0.009586422}","[('Everything', 0.150655592511471), ('location', 0.11473134559190121), ('top', 0.0771182768931374), ('would', -0.06475992008906503), ('from', 0.06403634331140506), ('you', 0.05984741175619016), ('a', -0.046471251040681116), ('premium', 0.0400444465151717), ('hotel', 0.03659312087489108), ('service', 0.03443258380312589), ('expect', 0.025406003401286303), ('and', 0.021207379845727754), ('facilities', 0.0014387903841502879)]",anticipation,"{'anticipation': 0.46023547649383545, 'surprise': 0.2702227532863617, 'joy': 0.1654828041791916, 'disgust': 0.16442005336284637, 'fear': 0.143552765250206, 'sadness': 0.057189904153347015, 'anger': 0.05640878900885582, 'optimism': 0.03617563843727112, 'pessimism': 0.028800025582313538, 'trust': 0.024907173588871956, 'love': 0.011795382015407085}","[('expect', 0.20729204215187094), ('Everything', -0.13131225846647607), ('location', 0.12416696444350477), ('hotel', 0.11800431194036502), ('you', -0.10342917752113485), ('top', 0.0771189329507255), ('premium', -0.06599723687450282), ('facilities', 0.02504010062163609), ('and', -0.022602443268179444), ('service', -0.010373319333096024), ('from', 0.007555781665928628), ('would', -0.0028499688164645436), ('a', 0.0025156760227260347)]","[('hotel', 0.07499330051934167), ('expect', 0.033884062665588625), ('top', 0.029062094433512358), ('location', 0.02694133882914235), ('from', 0.02666551245243139), ('would', 0.024017866217264466), ('premium', 0.02261845826422272), ('facilities', -0.01611338044615804), ('you', 0.015433922184299982), ('Everything', 0.008171183340563737), ('a', 0.007516458053059227), ('service', -0.0015669872328652917), ('and', 0.0015389197907269715)]","[('premium', 0.2048197623155256), ('you', -0.19111722069692047), ('top', 0.14358642454097975), ('from', -0.08948451672815254), ('location', -0.07250795210887215), ('Everything', 0.0710462678554899), ('service', -0.06850943232150472), ('a', 0.06400112273085894), ('expect', 0.05263107770575499), ('facilities', -0.05258270120385272), ('would', -0.04321284592163169), ('hotel', -0.029292573799039323), ('and', -0.02090162348343943)]"
 The location was perfect and so beautiful Only a tram ride from the centre anywhere really ,,"{5: 0.36984263699320985, 0: 0.14819853237365965}",Positive,"{'positive': 0.9730271, 'negative': 0.026972871}","[('location', 0.14101065960363635), ('beautiful', 0.13079433268476937), ('perfect', 0.10496947839742107), ('and', 0.04510704819560872), ('Only', -0.026235943965170778), ('ride', 0.024081352955217523), ('really', 0.02099435445968792), ('a', -0.016926004191415614), ('was', -0.015689669490609466), ('tram', -0.014807988388753902), ('anywhere', 0.01456571482166179), ('centre', 0.013795470358855387), ('The', -0.009357939033568451), ('from', 0.0074215547631475256), ('the', -0.00431710776828115), ('so', 0.0006369108366349591)]",joy,"{'joy': 0.9874086380004883, 'optimism': 0.8465425968170166, 'love': 0.48668941855430603, 'anticipation': 0.12560956180095673, 'trust': 0.11840540170669556, 'surprise': 0.044383078813552856, 'fear': 0.032623451203107834, 'sadness': 0.016444388777017593, 'pessimism': 0.009640183299779892, 'disgust': 0.005903782323002815, 'anger': 0.003992023877799511}","[('beautiful', 0.42419523453543856), ('perfect', 0.26625328246528773), ('Only', -0.0767217286154669), ('and', 0.06876158318854865), ('so', 0.052784761258172656), ('really', -0.04462752641786853), ('was', 0.03783631003420659), ('ride', 0.030392338912962877), ('location', 0.02919695482886239), ('the', -0.021563932170068342), ('anywhere', -0.014305394816991363), ('centre', -0.010003032047364023), ('tram', -0.007944803642359978), ('from', 0.004600322666924818), ('The', -0.004575922685673068), ('a', -0.0038819283279115237)]","[('perfect', 0.38141303378466496), ('beautiful', 0.2514738246075102), ('Only', -0.12375561526318694), ('so', 0.08781762890709155), ('and', 0.06410872930195063), ('was', -0.05292974464089008), ('from', 0.050737224110121625), ('location', 0.047476979039748915), ('really', -0.044890711296786914), ('tram', -0.043779685693626405), ('anywhere', -0.013350063923823553), ('the', 0.012935023362867396), ('ride', 0.01241506123316796), ('centre', -0.006481233051159506), ('The', -0.005250280884097492), ('a', 0.0022346425794492453)]","[('beautiful', 0.4086298546420319), ('perfect', 0.17003097727476627), ('location', -0.13364067915182898), ('Only', -0.10829542788456166), ('centre', -0.10723726593034488), ('so', 0.08401563483994137), ('from', 0.08213657960405799), ('and', 0.06196309217031701), ('The', 0.05577981981255699), ('tram', -0.048924520475105635), ('anywhere', -0.03603901196747617), ('was', -0.03213121055839712), ('a', -0.026236646652800736), ('really', -0.014411224723815834), ('ride', 0.013428738293738241), ('the', -0.0013468706232522816)]"
 Proximity to greater London Hyde Park and services,,"{5: 0.21702946790041583, 0: 0.21230951059211944}",Positive,"{'positive': 0.9716584, 'negative': 0.028341584}","[('Proximity', 0.15727919299723625), ('Hyde', 0.12829927658432808), ('and', 0.06610788461898126), ('London', 0.05625408788948879), ('Park', 0.04590566753806839), ('services', 0.045534181297542546), ('to', 0.011948279929848432), ('greater', -0.008364445505971183)]",anticipation,"{'anticipation': 0.5004029870033264, 'optimism': 0.21820387244224548, 'fear': 0.12283609807491302, 'sadness': 0.119627945125103, 'joy': 0.10891402512788773, 'pessimism': 0.06238222122192383, 'surprise': 0.047335125505924225, 'trust': 0.03519792854785919, 'disgust': 0.021077215671539307, 'love': 0.009487778879702091, 'anger': 0.007310954388231039}","[('Proximity', 0.2083851816580965), ('to', 0.06936677051711386), ('Park', 0.04415972872480433), ('greater', 0.04101375860016248), ('London', 0.038104675556080554), ('and', 0.018402117356955475), ('Hyde', 0.016925838598060287), ('services', 0.004238797797846818)]","[('Park', 0.09744530008207199), ('to', 0.09718090196824648), ('greater', 0.0722903611582565), ('and', 0.06670933305141503), ('Hyde', -0.060524791163827404), ('services', -0.04511368203372373), ('Proximity', -0.04430202570653574), ('London', -0.008168761267274621)]","[('Proximity', 0.06791344046037628), ('and', -0.03226758704367061), ('Park', -0.029183739809184997), ('Hyde', 0.018570901059387624), ('greater', -0.012853468912984849), ('London', 0.009247206904660544), ('to', -0.006932125135193903), ('services', 0.00250596940309041)]"
 Nice central place and nice people there I m coming again I m sure ,,"{5: 0.7055309760365438, 0: 0.09097307952449289}",Positive,"{'positive': 0.9893839, 'negative': 0.010616078}","[('Nice', 0.13339478040702504), ('nice', 0.10794916544206982), ('central', 0.08022583272586516), ('place', 0.04250496092404443), ('again', -0.032969736721374814), ('I', 0.023823809991580562), ('m', -0.02125999276039241), ('people', -0.014759377608940008), ('there', 0.013615823068087708), ('sure', -0.008257332270783057), ('and', -0.007627820502339556), ('coming', -0.0016216650639640615)]",joy,"{'joy': 0.9881290793418884, 'optimism': 0.9715577960014343, 'love': 0.459709107875824, 'trust': 0.35139864683151245, 'anticipation': 0.13065533339977264, 'surprise': 0.04128402844071388, 'fear': 0.017226243391633034, 'anger': 0.01672365888953209, 'disgust': 0.013275880366563797, 'pessimism': 0.009328155778348446, 'sadness': 0.007709499914199114}","[('Nice', 0.22286518108664716), ('nice', 0.19062485759965578), ('central', 0.09081384587279599), ('coming', 0.07144632205952461), ('m', 0.05198455400449437), ('there', -0.048682935431655715), ('again', 0.02958764528924096), ('I', -0.012081853069953418), ('and', -0.011426967918723116), ('people', 0.008908565408508344), ('sure', 0.0025971756273868115), ('place', 0.00015858651454322755)]","[('Nice', 0.23598308087396178), ('nice', 0.22655659693530183), ('sure', 0.095168503914163), ('central', 0.09099728899183891), ('m', 0.08922283262388994), ('there', -0.055025197774611796), ('people', 0.05447404842323992), ('coming', 0.05096886271623528), ('again', -0.038155742102880315), ('I', -0.02010276525019596), ('and', 0.009367965730989327), ('place', 0.005809994299920672)]","[('nice', 0.2663965513645974), ('Nice', 0.16848980793458085), ('place', 0.055654175519554795), ('m', 0.04978369132661572), ('there', -0.04586933447352947), ('people', 0.025542305565493428), ('sure', -0.02409549211611762), ('and', -0.024087419512123016), ('I', -0.02193467130371024), ('coming', 0.009766319229501289), ('central', 0.009419262032515315), ('again', 0.0056527937445761695)]"
 Splendid Property Modern clean and well maintained,,"{5: 0.4986109688639489, 0: 0.15692274055959823}",Positive,"{'positive': 0.9967745, 'negative': 0.003225546}","[('Splendid', 0.04540545722681431), ('Modern', 0.04063030811386838), ('clean', 0.029196066028964945), ('maintained', 0.01975846456148196), ('and', 0.01173391702286917), ('well', 0.009416183460276548), ('Property', 0.008949024239309959)]",joy,"{'joy': 0.9845457077026367, 'optimism': 0.8845616579055786, 'love': 0.32773229479789734, 'trust': 0.09066569060087204, 'anticipation': 0.04526809975504875, 'surprise': 0.03020295687019825, 'anger': 0.02489004097878933, 'disgust': 0.015000946819782257, 'sadness': 0.01353102270513773, 'fear': 0.009330371394753456, 'pessimism': 0.007141097914427519}","[('Splendid', 0.27803315630430187), ('well', 0.11461891406030397), ('Modern', 0.07316943936379262), ('Property', 0.05288962432306989), ('and', 0.05261529717121605), ('clean', 0.04982963508421759), ('maintained', 0.025076386047896533)]","[('well', 0.19559711584416933), ('clean', 0.18170599360937906), ('Property', 0.10992985970419489), ('Modern', -0.10591452124787641), ('maintained', 0.09829712692865043), ('Splendid', 0.08069581324655856), ('and', 0.049128776650212154)]","[('Splendid', 0.15745376382832396), ('Property', 0.07208175016237932), ('well', 0.06848930530962326), ('maintained', 0.05598384120831627), ('Modern', -0.055853778138094286), ('clean', 0.045477075088411506), ('and', 0.0037763236276009467)]"
 It is close to Paddington Station and other attractions,,"{5: 0.22981119531281874, 0: 0.20829141469125292}",Positive,"{'positive': 0.94186825, 'negative': 0.05813175}","[('close', 0.3377502079815654), ('attractions', 0.10704954383728857), ('Paddington', 0.08906351067285208), ('and', 0.07985261848117922), ('is', 0.053475492784438916), ('It', -0.04005400842024288), ('Station', 0.03369912914735562), ('other', -0.02258779420755225), ('to', 0.01304899158837113)]",anticipation,"{'anticipation': 0.3590603470802307, 'optimism': 0.20598630607128143, 'fear': 0.16890913248062134, 'joy': 0.11297640949487686, 'sadness': 0.10283279418945312, 'pessimism': 0.07323671877384186, 'disgust': 0.05482763424515724, 'surprise': 0.04997539892792702, 'trust': 0.039749663323163986, 'anger': 0.01611005887389183, 'love': 0.010553387925028801}","[('attractions', 0.14737421331148073), ('It', 0.05288678994528158), ('is', 0.04920132642981608), ('close', 0.04126238263792389), ('to', 0.03539524790041077), ('Paddington', -0.03061324778805467), ('other', 0.027160089285631156), ('and', 0.010336741376592996), ('Station', -0.0032237513878708036)]","[('attractions', 0.09851220397691421), ('It', 0.06714600552570288), ('is', 0.06499289834563965), ('other', 0.05967877434241866), ('to', 0.05149056214910788), ('Paddington', -0.03262819245459606), ('Station', -0.026040669306831472), ('and', -0.008836334904638088), ('close', 0.0044282780903864985)]","[('close', 0.07458828608923546), ('attractions', -0.033546282046556346), ('other', -0.021808580710509763), ('is', 0.017994855696737762), ('to', -0.013107753707563957), ('and', 0.012920117869039282), ('Paddington', 0.011756004794987444), ('Station', -0.004821013170583339), ('It', -0.004280586736183901)]"
